frac_age,delta_nu_fit,nu_max,nu_0_1,nu_0_2,nu_0_3,nu_0_4,nu_0_5,nu_0_6,nu_0_7,nu_0_8,nu_0_9,nu_0_10,nu_0_11,nu_0_12,nu_0_13,nu_0_14,nu_0_15,nu_0_16,nu_0_17,nu_0_18,nu_0_19,nu_0_20,nu_0_21,nu_0_22,nu_0_23,nu_0_24,nu_0_25,nu_0_26,nu_0_27,nu_0_28,nu_0_29,nu_0_30,nu_0_31,nu_0_32,nu_0_33,nu_0_34,nu_0_35,nu_0_36,nu_0_37,nu_0_38,nu_0_39,nu_0_40,surface_he4
0.5498814559500447,126.46762702370009,2785.8374403946705,0.0,0.0,506.218059354852,635.208395183182,769.0136838181597,903.7088926667997,1038.050950897818,1172.795989804684,1305.544310008964,1436.6954144543079,1563.5927333576142,1688.9714330079928,1814.342927036362,1940.4045547446729,2066.393283109701,2190.800906943778,2315.05217506155,2439.796050104389,2565.777907879801,2692.240325302015,2818.6154491367024,2945.202051335565,3071.841697901781,3199.075305041266,3326.6082987549016,3454.43479427198,3582.389539630833,3710.3278031427885,3838.4046941108445,3966.242582837974,4094.047823608803,4220.974234566676,4344.412403974665,4469.725495817475,4593.296604390793,4714.438707980662,4832.337547706249,4947.921377922361,5063.535518928911,5181.746693311894,0.2114378868909545
0.552464944677774,126.30846014489157,2781.0530008204328,0.0,0.0,505.691457497726,634.4919336260499,768.0978220176352,902.6072224887233,1036.766169671572,1171.334758498916,1303.903073448849,1434.871505901439,1561.588234253435,1686.795699316304,1812.011964820999,1937.912050438985,2063.733212183803,2187.973273972344,2312.067480011693,2436.661889126274,2562.490378268476,2688.797989867723,2815.012470397879,2941.441549582967,3067.92495910742,3195.0063339743215,3322.3817096132207,3450.048741365415,3577.846260719366,3705.626300837304,3833.5406123263037,3961.2151503523323,4088.8551843851146,4215.598058208204,4338.8780380471035,4464.009956172603,4587.386324227652,4708.317664046634,4826.005454068249,4941.405702099496,5056.910072431794,5175.0300206116835,0.2113055550704508
0.5550451410024321,126.14902799197293,2776.2661008350533,0.0,0.0,505.1637124167268,633.774352183441,767.1804910105302,901.5038740674023,1035.4796291760808,1169.8710934528328,1302.2597249776559,1433.044196923829,1559.581026636207,1684.616172013128,1809.677485937427,1935.415803586691,2061.068424733133,2185.141666207244,2309.077424675123,2433.523430320155,2559.197493913523,2685.350048815788,2811.404176557414,2937.674418249736,3064.002768231186,3190.9301671111243,3318.148952962978,3445.6554907692876,3573.295391642912,3700.9178721584276,3828.667855381017,3956.180579170524,4083.6530000965613,4210.212939309916,4333.334258731108,4458.284069538676,4581.466181605378,4702.183923390804,4819.662468487752,4934.878463984623,5050.273966961136,5168.3042726023905,0.21117395675876147
0.5576220483297052,125.98972820313652,2771.4842542592914,0.0,0.0,504.636036657873,633.0572693998053,766.2638285059523,900.4013531667232,1034.193974543731,1168.408513041487,1300.61745734246,1431.2182004558288,1557.5751699619532,1682.438331579249,1807.344681777295,1932.921433395412,2058.405626004088,2182.312017683676,2306.089778304299,2430.387305937445,2555.907159404743,2681.904579287271,2807.7984251866415,2933.910274161947,3060.0832079918,3186.8571876489227,3313.919124640998,3441.265471649504,3568.747667485417,3696.2126366221614,3823.798734871403,3951.149210623606,4078.4544687092357,4204.830555078454,4327.794250951263,4452.561756080529,4575.549357873735,4696.053850831027,4813.323302746371,4928.356668414728,5043.644188271734,5161.584688050259,0.2110429958348317
0.5601956716100543,125.83052255356648,2766.706743270094,0.0,0.0,504.1083293047781,632.3405570339346,765.3476569162714,899.2994638887137,1032.908976361203,1166.946747545612,1298.97598656739,1429.393131385941,1555.570309995921,1680.26171806943,1805.013120198342,1930.4284244359,2055.744262278338,2179.48380194937,2303.103877151734,2427.2529429955202,2552.618682531038,2678.460894290793,2804.194504912924,2930.148298931569,3056.1655561489392,3182.786488595542,3309.691429844656,3436.877764062383,3564.2022189580543,3691.5096615638454,3818.932232975219,3946.1201111743535,4073.258442178487,4199.44989958892,4322.256782887028,4446.841888336889,4569.634629730922,4689.926097096339,4806.986733162437,4921.838905688786,5037.019386832482,5154.869864393304,0.2109126089858917
0.5627660157140847,125.67138455241785,2761.933163399012,0.0,0.0,503.5805405999472,631.6241557646775,764.4318799873814,898.1981086540135,1031.624518928318,1165.485660705149,1297.335166321746,1427.568790870755,1553.566263355007,1678.086092634762,1802.6825945624082,1927.9365301127696,2053.084073250633,2176.656775669029,2300.1194046263126,2424.1200780628988,2549.331736683948,2675.018684685273,2800.592065915199,2926.388096001148,3052.249459666056,3178.717584957459,3305.4654589978472,3432.491888547327,3559.658588560154,3686.8084497696914,3814.067814561562,3941.0928162080463,4068.064332585212,4194.070431287254,4316.721262425675,4441.12387516586,4563.7213436849515,4683.799913734033,4800.6520941030685,4915.324377304294,5030.398797259911,5148.159079791357,0.21078275188742326
0.565333083695829,125.51228788538192,2757.162956330553,0.0,0.0,503.0525820729954,630.9079538097012,763.5163518989839,897.0971238594176,1030.3404154614661,1164.0250355123821,1295.69476236445,1425.744900111207,1551.562743840376,1675.9111186018426,1800.352772991225,1925.4453838372651,2050.424667795539,2173.830540186619,2297.1359067358967,2420.988281087636,2546.0458347258,2671.5774510276087,2796.990591161202,2922.6290995309114,3048.334360172219,3174.6498358347358,3301.2406048328835,3428.107173509452,3555.1161085753,3682.108295019329,3809.2047618973243,3936.0666122840307,4062.871359091672,4188.6913534966025,4311.186847520629,4435.406906278859,4557.808669639031,4677.674409889879,4794.318562662754,4908.812178662659,5023.781458656342,5141.451382994876,0.2106533918607116
0.5678968785305982,125.3532389371515,2752.396091197452,0.0,0.0,502.5244368892604,630.1919348543707,762.601049778892,895.9964888286589,1029.056641432335,1162.564845500407,1294.054749187418,1423.921427006532,1549.559730021655,1673.736759032022,1798.023624335939,1922.954933175527,2047.765989828287,2171.005050569011,2294.153309480301,2417.857505001847,2542.760914942015,2668.137143646242,2793.3900504781154,2918.871258310698,3044.420257792999,3170.583201021667,3297.016870141212,3423.723595510143,3550.574758768351,3677.4091698528227,3804.343017235059,3931.0414877248095,4057.679433494923,4183.312600156717,4305.653451973072,4429.690937781086,4551.896554743927,4671.5494708050155,4787.98605496026,4902.302220395473,5017.167267436021,5134.74669133151,0.2105245037897842
0.5704574046608339,125.19406030205023,2747.6282036329912,0.0,0.0,501.99550307015846,629.4752581500677,761.6849220621701,894.8949333362259,1027.771728193468,1161.1034179206,1292.413252407728,1422.0963006035752,1547.5549523350269,1671.560558143178,1795.6925195933484,1920.462363390118,2045.1050568923145,2168.177144206069,2291.168251154711,2414.724215138661,2539.473244263317,2664.693859399128,2789.786359338751,2915.11030863417,3040.5027484983148,3166.5130677024267,3292.789514757277,3419.336219977824,3546.029443130362,3672.705791817749,3799.477091793683,3926.011837186093,4052.482718465921,4177.928160037324,4300.114908312234,4423.969630421318,4545.978490724343,4665.418395007283,4781.647779976524,4895.787521301393,5010.5490914783,5128.037764373864,0.21039606767714755
0.5730146660798636,125.0351074070764,2742.8683190976803,0.0,0.0,501.4670091915632,628.7596543509422,760.7701217806379,893.7950714894615,1026.488696287284,1159.644180368118,1290.7741034554401,1420.2737356641119,1545.553039993525,1669.387522743617,1793.364847135332,1917.973416955978,2042.4479946777442,2165.353343227705,2288.1875919259023,2411.5956354201057,2536.190394214064,2661.255521402913,2786.1878109098852,2911.354874067682,3036.5908511832286,3162.448735840207,3288.568222643569,3414.9550857188237,3541.490544813906,3668.0088993372333,3794.61806382913,3920.989155200408,4047.29304739053,4172.550208378589,4294.583795360738,4418.255893185157,4540.067729297753,4659.294778052389,4775.317699902106,4889.282414058488,5003.941495751886,5121.339545970035,0.2102680670583695
0.5755686645225528,124.87620839610818,2738.111849972837,0.0,0.0,500.93834652373033,628.0442655834743,759.8555738541755,892.6955996613623,1025.206041915325,1158.185420294835,1289.135385602327,1418.451613533408,1543.551667021085,1667.215135162722,1791.0379031163336,1915.4851970194159,2039.791702994729,2162.530349987545,2285.207855609599,2408.468114743965,2532.908544063224,2657.818144214413,2782.590242737866,2907.6006244457594,3032.680076218274,3158.385524188613,3284.348154365523,3410.575151066079,3536.952844475861,3663.313053883883,3789.760324434109,3915.967625640947,4042.1043953501317,4167.1724830547355,4289.053673422717,4412.5431392887185,4534.157472409199,4653.171629324228,4768.988671579001,4882.779580987843,4997.3369364483115,5114.644291493272,0.21014048801175528
0.5781194018338398,124.71732728809269,2733.3582404400645,0.0,0.0,500.4094528411914,627.3290082139769,758.9411683925148,891.5963875943744,1023.923611594908,1156.72696403449,1287.496914231631,1416.629733008013,1541.550623159169,1665.0431794408262,1788.7114589699868,1912.997458900155,2037.135923861415,2159.707899862433,2282.2287334822518,2405.341323779046,2529.627341282815,2654.381335056201,2778.993234837254,2903.847089695694,3028.769942642078,3154.322921725633,3280.128818232695,3406.195918816234,3532.41585539854,3658.6177819985023,3784.903378566077,3910.946765114268,4036.916236824422,4161.7943794253615,4283.523964626602,4406.830756014801,4528.247095402564,4647.048299863867,4762.660080938248,4876.278433566947,4990.734803966307,5107.9513988264225,0.21000696647074368
0.5806668813273413,124.55848554271441,2728.607787495198,0.0,0.0,499.88035935476415,626.6139332695342,758.0269685748942,890.4975175237025,1022.64150271563,1155.268917829453,1285.858808627439,1414.8082232610598,1539.550049711549,1662.871803444046,1786.3856546450809,1910.510341960292,2034.480796946593,2156.88613683648,2279.2503846502104,2402.215447152926,2526.347001028554,2650.945337143494,2775.397056490856,2900.094546986353,3024.8607687200956,3150.261213969536,3275.910513187819,3401.8176965379325,3527.8798699217714,3653.923393627058,3780.0475115165223,3905.9269115475818,4031.728885619848,4156.416185495043,4277.995053859821,4401.119138131596,4522.3370286764475,4640.9252242673965,4756.332357045612,4869.779435855757,4984.1355189056485,5101.261363921115,0.2098751176428594
0.5832111052461082,124.39975222217652,2723.8626697934315,0.0,0.0,499.3513301272139,625.8993080365867,757.1134080135158,889.3993581046473,1021.360344208995,1153.811734776346,1284.221854126321,1412.9877149411582,1537.55080310663,1660.701896731871,1784.0613198929998,1908.024954381105,2031.827269986969,2154.066323362807,2276.274000066353,2399.091720531196,2523.068943597817,2647.51141220936,2771.803298900022,2896.344403101671,3020.954188215541,3146.202021672558,3271.694862533103,3397.442371471598,3523.346586227028,3649.231886397645,3775.194574166722,3900.910129978298,4026.544450908396,4151.039952540107,4272.469306806264,4395.4104618983,4516.429804127043,4634.804895036331,4750.008118375716,4863.285407831875,4977.541618469688,5094.577010030319,0.20974442288647266
0.585752073291401,124.24073414123696,2719.113856901468,0.0,0.0,498.82101032562264,625.1834428305439,756.1981746364772,888.2993843415043,1020.077154142436,1152.3519516354559,1282.582396761094,1411.1635067358136,1535.548375986811,1658.5278171730731,1781.733031027327,1905.535229025221,2029.168536312117,2151.241936819639,2273.291673244502,2395.963001545235,2519.784900816111,2644.071155859026,2768.2035262499394,2892.58686849557,3017.041447655033,3142.134781028631,3267.472175234549,3393.059141892593,3518.804841020929,3644.532448994243,3770.331961398949,3895.885209511601,4021.3494478343896,4145.652931512967,4266.933057647644,4389.6901219763095,4510.511389783305,4628.670594884965,4743.67157404527,4856.779248777534,4970.935555926933,5087.882446654146,0.2096146061879859
0.5882897836125051,124.08183550583313,2714.370058141303,0.0,0.0,498.2907728417344,624.4681181780363,755.2836467827773,887.2002923487684,1018.7949289785561,1150.893322374131,1280.94407067169,1409.340671095884,1533.547331559882,1656.355541844576,1779.4065132661194,1903.0474327414208,2026.51191702561,2148.419653042285,2270.311855941742,2392.83668254565,2516.503544357851,2640.633443996634,2764.6064342101836,2888.832366731845,3013.1315161339808,3138.070705499043,3263.252458492793,3388.6792906313067,3514.266352128593,3639.836197811182,3765.47305178234,3890.863640926551,4016.158222435221,4140.2681708534255,4261.400657273272,4383.973509247468,4504.596236000454,4622.540078265769,4737.3389825970535,4850.279117823725,4964.3358729564,5081.194126697058,0.2094855089858596
0.5908242339151745,123.9230106670838,2709.630148644447,0.0,0.0,497.7604485911652,623.7531163183107,754.3695437497643,886.1017626730679,1017.5132975643539,1149.435413048519,1279.306416331184,1407.5186436226238,1531.54710801695,1654.1843946772312,1777.0810912116974,1900.56081213409,2023.8565803981808,2145.598650469181,2267.3336084134853,2389.711880480756,2513.223880859531,2637.197293457962,2761.0109951659447,2885.079762277817,3009.223338819228,3134.0085712576756,3259.034587329441,3384.3015284587,3509.729851077953,3635.141804625179,3760.616396016288,3885.844044129713,4010.969147586289,4134.884066790932,4255.870396646898,4378.25896069903,4498.682662862046,4616.41147640404,4731.0086138766965,4843.782975134388,4957.740574535576,5074.510085401834,0.20935703335579287
